REPDTE,CERT,NAME,STALP,DEPDOM,ASSET,LNLSNET,CHBAL,EQ
20130331,10878,WATERMAN STATE BANK,IL,34023,41985,22040,763,3984.0
20130331,10879,FIRST FARMERS STATE BANK,IL,138639,162475,73988,4638,17475.0
20130331,10883,BANK OF BLUFFS,IL,52004,60278,25647,11413,8236.0
20130331,10885,BANK OF CHESTNUT,IL,16103,17758,9871,581,1589.0
20130331,10886,LEGENCE BANK,IL,254461,291909,130609,11486,31104.0
20130331,10887,FIRST COUNTY BANK,IL,356932,397591,306115,3949,36882.0
20130331,10896,FARMERS&TRADERS SAVINGS BANK,IA,18268,20216,13154,4717,1881.0
20130331,10898,GARNAVILLO SAVINGS BANK,IA,32944,37476,29365,3288,4256.0
20130331,10903,CENTRAL STATE BANK,IA,155305,194949,83994,9104,23451.0
20130331,10906,BALDWIN STATE BANK,KS,71628,79595,34883,1748,6965.0
20130331,10907,GUARANTY STATE BANK&TRUST CO,KS,145039,181882,141508,1805,18711.0
20130331,10908,GREAT AMERICAN BANK,KS,60664,78600,55457,3312,11696.0
20130331,1090,UPPER PENINSULA STATE BANK,MI,160221,196006,104706,18674,28928.0
20130331,10916,STANLEY BANK,KS,74366,91249,62660,25794,16869.0
20130331,10918,GRANT COUNTY BANK,KS,177818,224346,103700,19407,24487.0
20130331,10919,STATE BANK OF BERN,KS,69210,81954,30531,7365,11234.0
20130331,1091,STATE BANK OF EWEN,MI,44475,54154,18863,5132,9338.0
20130331,10920,FIDELITY STATE BANK&TRUST CO,KS,138909,166885,42205,67898,26218.0
20130331,10925,MIDWEST COMMUNITY BANK,KS,57326,72012,32128,2017,7803.0
20130331,10928,MINERS STATE BANK,MI,111079,124232,75752,2551,12067.0
20130331,1092,BAYBANK,MI,73549,84910,41591,6085,9888.0
20130331,10936,SIGNATURE BANK,MI,203885,230829,165881,23337,20985.0
20130331,10956,NORTHVIEW BANK,MN,196453,228621,161624,10244,23881.0
20130331,10957,CITIZENS STB OF HAYFIELD,MN,68934,75608,53129,12239,5500.0
20130331,10958,UNITED PRAIRIE BANK,MN,516669,588756,380649,61925,58989.0
20130331,1095,CENTRAL SAVINGS BANK,MI,207238,242599,128736,30920,27193.0
20130331,10960,JANESVILLE STATE BANK,MN,51258,61107,31953,9880,7134.0
20130331,10962,GRAND RAPIDS STATE BANK,MN,201875,240932,122120,13109,27834.0
20130331,10965,LAKE REGION BANK,MN,89240,104104,49073,16833,9008.0
20130331,10967,F&M COMMUNITY BANK NA,MN,80854,97719,64991,5799,13286.0
20130331,10969,RANDALL STATE BANK,MN,31144,35998,20728,5469,4773.0
20130331,10971,PRIME SECURITY BANK,MN,50417,60163,37668,12856,4119.0
20130331,10973,ALLIANCE BANK,MN,497360,579373,436605,34292,67649.0
20130331,10976,CENTER NATIONAL BANK,MN,147444,179038,73642,4346,19745.0
20130331,10980,EITZEN STATE BANK,MN,71872,86819,48225,7043,7590.0
20130331,10982,SECURITY STATE BANK OF OKLEE,MN,29096,34109,7289,14372,4972.0
20130331,10984,SECURITY BANK MINNESOTA,MN,83056,103656,66980,4006,11650.0
20130331,10987,CAMBRIDGE STATE BANK,MN,57874,69832,45223,4547,8725.0
20130331,10988,STEARNS BANK NATIONAL ASSN,MN,1068434,1399121,1055519,94055,240816.0
20130331,10989,ANNANDALE STATE BANK,MN,114473,133191,66522,20964,15388.0
20130331,1098,ROOT RIVER STATE BANK,MN,60611,68549,32659,11493,7670.0
20130331,10991,FIRST STATE BANK OF BIGFORK,MN,56084,66496,42510,15062,6681.0
20130331,10993,BONANZA VALLEY STATE BANK,MN,44116,50111,39893,4063,4399.0
20130331,10998,GRANITE FALLS BANK,MN,138171,164649,52567,12098,19661.0
20130331,1099,CLINTON STATE BANK,MN,61805,69764,31919,7735,7882.0
20130331,109,HORATIO STATE BANK,AR,121129,136299,94896,15412,14726.0
20130331,11000,CENTRAL BK LAKE OZARKS,MO,488013,549914,358505,65580,47202.0
20130331,11002,ST CLAIR COUNTY STATE BANK,MO,107362,123652,88074,2202,14055.0
20130331,11003,FARMERS STATE BANK S B,MO,51997,65375,41705,4106,9981.0
20130331,1100,PEOPLES STB OF PLAINVIEW,MN,150864,188156,110240,10373,17452.0
20130331,11013,FIRST STATE BANK OF SHELBY,MT,110526,134094,22856,8973,22425.0
20130331,11023,FRANKLIN STATE BANK,NE,43694,52397,16944,6610,8421.0
20130331,11035,PEAPACK-GLADSTONE BANK,NJ,1482478,1634496,1150312,99177,122540.0
20130331,1105,FIRST INTERSTATE BANK,MT,6028500,7410717,4122922,493682,808437.0
20130331,11063,FIRST-CITIZENS BANK&TRUST CO,NC,18075802,20948978,12944221,1374114,1888726.0
20130331,11085,MILTON BANKING CO,OH,116141,130651,106894,5373,12229.0
20130331,110,BANK OF THE OZARKS,AR,3001209,3948667,2701688,162575,571223.0
20130331,11106,LAFAYETTE AMBASSADOR BANK,PA,1097340,1437101,1074109,18547,148779.0
20130331,11112,SOMERSET TRUST CO,PA,695355,812250,439573,52201,72746.0
20130331,11113,HAMLIN BANK&TRUST CO,PA,364450,448528,178762,56239,72258.0
20130331,11116,CLEARFIELD BANK&TRUST CO,PA,356687,417322,265814,15570,51000.0
20130331,11124,S&T BANK,PA,3651771,4458587,3338626,260607,529178.0
20130331,11133,FARMERS STATE BANK OF CANTON,SD,43594,49687,27496,4566,5021.0
20130331,11140,FIRST STATE BANK,TX,30708,34598,11165,11207,3727.0
20130331,11141,HULL STATE BANK,TX,46136,51189,17788,11370,4897.0
20130331,11144,FIRST STB OF MIAMI TEXAS,TX,40175,42685,24015,1252,2473.0
20130331,1114,STATE BANK OF TOWNSEND,MT,45405,51005,28490,14716,5149.0
20130331,11151,FIRST STB CENTRAL TEXAS,TX,947073,1177419,524521,77220,146270.0
20130331,11159,TEXAS CHAMPION BANK,TX,302645,357183,219807,61562,36406.0
20130331,1116,STATE BANK OF ALCESTER,SD,87021,115029,80458,4740,9679.0
20130331,11175,FIRST STATE BANK,TX,24125,27765,13658,7224,3042.0
20130331,11178,TRANSPECOS BANKS,TX,141300,157034,63290,51160,14138.0
20130331,1117,AMERICAN BANK&TRUST,SD,336724,403738,254803,19939,44875.0
20130331,11181,FIRST STB OF BROWNSBORO,TX,90356,99298,48470,8478,8878.0
20130331,1118,CITIZENS STB OF ARLINGTON,SD,91711,105249,63283,6757,12690.0
20130331,11200,BANK OF LANCASTER,VA,272981,327963,231842,37850,30537.0
20130331,11207,BANK OF FAIRFIELD,WA,131231,146225,92364,38209,13910.0
20130331,11225,FIRST COMMUNITY BANK,WI,66973,78256,50362,2300,8964.0
20130331,11228,FIRST CITIZENS STATE BANK,WI,204133,250700,144885,14610,40248.0
20130331,1122,FIRST FIDELITY BANK,SD,293137,333794,106371,22275,29937.0
20130331,11232,BANK OF MILTON,WI,83064,95897,68328,8724,7959.0
