CERT,REPDTE,BKCLASS,CALLFORM,DEPUNA,DEPUNINS,ACTEVT
11680,20100331,SM,41,0,8117,
11681,20100331,NM,41,0,317,
11682,20100331,NM,41,0,2920,
11685,20100331,NM,41,0,22978,810
11686,20100331,NM,41,0,2740,
1168,20100331,SM,41,0,23894,
11694,20100331,NM,41,0,7516,
11699,20100331,NM,41,0,1192,
1169,20100331,SM,41,0,16085,
11702,20100331,SM,41,0,21968,
11704,20100331,SM,41,0,3341,
11705,20100331,NM,41,0,13566,
11706,20100331,NM,41,0,2681,
11708,20100331,SM,41,0,9338,
11711,20100331,SM,41,0,20656,
11715,20100331,NM,41,0,468,
11716,20100331,SM,41,0,1627,
11719,20100331,NM,41,0,1171,
11721,20100331,NM,41,0,4547,810
11722,20100331,NM,41,0,24598,
11724,20100331,NM,41,0,986,
11726,20100331,NM,41,0,671,
11729,20100331,NM,41,0,32993,
11731,20100331,NM,41,0,983,
11732,20100331,NM,41,0,2755,
11734,20100331,NM,41,0,3135,
11739,20100331,NM,41,0,32855,810
11741,20100331,NM,41,0,10426,
11746,20100331,NM,41,0,7499,
11747,20100331,NM,41,0,10164,
11750,20100331,NM,41,0,4888,
11759,20100331,NM,41,0,2410,
11761,20100331,NM,41,0,1494,
11763,20100331,SM,41,0,59562,810
11764,20100331,NM,41,0,6334,
11767,20100331,NM,41,0,21772,
1176,20100331,SI,41,0,48959,
11771,20100331,NM,41,0,46969,
11772,20100331,NM,41,0,27521,
11777,20100331,NM,41,0,50712,
11778,20100331,SM,41,0,20004,
11782,20100331,NM,41,0,6634,
11785,20100331,NM,41,0,23311,
11788,20100331,NM,41,0,28070,
11792,20100331,NM,41,0,18283,
11807,20100331,NM,41,0,50309,
11810,20100331,SM,41,0,18561,
11813,20100331,NM,31,2003398,2003398,810
11817,20100331,NM,41,0,12863,
11821,20100331,NM,41,0,2948,
11823,20100331,NM,41,0,10382,
1184,20100331,SI,41,0,51434,
11860,20100331,SM,41,0,51812,
11862,20100331,NM,41,0,24609,
11865,20100331,NM,41,0,1551,
11866,20100331,SM,41,232848,232848,
11868,20100331,NM,41,0,105697,
11881,20100331,NM,41,0,27792,
11886,20100331,NM,41,0,113202,
11891,20100331,NM,41,0,2946,
11895,20100331,NM,41,0,22653,
11902,20100331,NM,41,0,7511,
11903,20100331,NM,41,0,510,
11904,20100331,NM,41,0,6094,
11905,20100331,NM,41,0,8953,810
11907,20100331,NM,41,0,26740,
11908,20100331,N,41,0,11678,
11916,20100331,NM,41,0,3550,
11922,20100331,NM,41,0,25658,
11932,20100331,NM,41,0,7224,
11934,20100331,NM,41,0,224,
11935,20100331,NM,41,0,63325,
11939,20100331,NM,41,0,13307,
11942,20100331,NM,41,0,8039,
11952,20100331,NM,41,0,18883,
11953,20100331,NM,41,0,12711,
11971,20100331,NM,41,93421,93421,
11972,20100331,NM,41,0,100,
1197,20100331,NM,41,0,28460,
1198,20100331,NM,41,0,8793,
11990,20100331,SB,100,,30259,
12010,20100331,SI,41,892698,892698,
12013,20100331,SI,41,76383,76383,
12017,20100331,SI,41,0,4776,
12054,20100331,SI,41,290325,290325,
12078,20100331,NM,41,0,5429,
12079,20100331,NM,41,0,4604,
12082,20100331,NM,41,0,44666,
12086,20100331,NM,41,0,213,
12087,20100331,NM,41,0,18428,
12089,20100331,NM,41,0,326,
1208,20100331,NM,41,0,27634,820
12091,20100331,NM,41,0,4950,
12098,20100331,SM,41,0,419,
1209,20100331,N,41,0,75388,
12103,20100331,NM,41,0,3834,
12104,20100331,N,41,0,6014,
12107,20100331,NM,41,0,2593,
1210,20100331,SM,41,0,24076,
12113,20100331,NM,41,0,13278,
12117,20100331,NM,41,0,624,
12121,20100331,NM,41,0,1595,
12126,20100331,NM,41,0,9921,
12128,20100331,NM,41,0,1037,
12135,20100331,NM,41,0,5286,
12136,20100331,NM,41,0,6651,
12139,20100331,NM,41,0,1944,
1213,20100331,NM,41,0,20284,
12149,20100331,NM,41,0,17206,
12162,20100331,NM,41,0,7538,
12163,20100331,NM,41,0,22115,
12165,20100331,NM,41,0,4642,
12166,20100331,NM,41,0,9440,
12181,20100331,NM,41,262227,262227,811
12186,20100331,SM,41,0,6199,
1218,20100331,NM,41,0,17578,
12193,20100331,NM,41,0,2935,
12195,20100331,NM,41,0,6493,
12197,20100331,SB,100,41,41,
12198,20100331,N,41,0,74122,
1219,20100331,SM,41,0,26801,
12201,20100331,NM,41,0,15644,
12203,20100331,NM,41,0,154456,
12204,20100331,NM,41,0,156827,
12206,20100331,NM,41,0,19154,
12207,20100331,NM,41,0,11107,
12208,20100331,SM,41,0,19802,
12214,20100331,NM,41,0,11601,
12219,20100331,NM,41,0,22398,
12220,20100331,NM,41,0,1868,
12223,20100331,SM,41,0,21802,
12225,20100331,NM,41,0,7892,
12226,20100331,SM,41,0,954,
12229,20100331,SM,41,1351618,1351618,810
12230,20100331,NM,41,0,31253,
12231,20100331,NM,41,0,10012,
12232,20100331,NM,41,0,2629,
12236,20100331,NM,41,0,5701,
12238,20100331,N,41,0,1147,
12241,20100331,NM,41,0,22018,
12244,20100331,NM,41,0,1510,810
12246,20100331,NM,41,0,1723,
12248,20100331,SM,41,0,11301,
12249,20100331,NM,41,0,138,
12258,20100331,NM,41,0,29740,
12259,20100331,NM,41,0,43776,
1225,20100331,SM,41,1506845,1506845,
12261,20100331,SM,41,495087,495087,810
12266,20100331,NM,41,0,39075,810
12267,20100331,NM,41,0,124924,
12283,20100331,SM,41,0,13970,
12284,20100331,NM,41,0,3078,
12285,20100331,NM,41,0,7074,
12293,20100331,NM,41,0,331,
12298,20100331,NM,41,0,7045,
12299,20100331,SI,41,0,8515,
12303,20100331,NM,41,0,26078,
12305,20100331,NM,41,0,13188,
12308,20100331,NM,41,0,9527,
12309,20100331,N,41,0,13486,
12314,20100331,NM,41,0,286,
12315,20100331,NM,41,0,26263,
12319,20100331,NM,41,0,1273,
12322,20100331,NM,41,0,19734,
12325,20100331,NM,41,0,1933,
12327,20100331,NM,41,0,35495,
12331,20100331,NM,41,0,39378,
12342,20100331,NM,41,0,2191,
12349,20100331,NM,41,0,16328,
12354,20100331,NM,41,0,5325,
12355,20100331,NM,41,0,1999,
12365,20100331,N,41,0,16803,
12368,20100331,SM,31,23455515,23455515,811
12372,20100331,NM,41,0,1347,
12373,20100331,SM,41,0,4541,
1237,20100331,NM,41,0,6878,
12383,20100331,NM,41,0,128838,
12384,20100331,NM,41,0,1892,
12386,20100331,NM,41,0,12313,
12387,20100331,NM,41,0,8020,
12388,20100331,NM,41,0,5774,
12391,20100331,NM,41,0,2463,
12393,20100331,NM,41,0,2863,
12395,20100331,NM,41,0,3762,
12396,20100331,NM,41,0,50343,811
12402,20100331,NM,41,0,4833,
12406,20100331,NM,41,156010,156010,
12408,20100331,NM,41,0,2468,
12410,20100331,SM,41,0,11227,
12417,20100331,NM,41,0,3649,
12422,20100331,NM,41,0,1691,
12425,20100331,NM,41,0,2135,
12426,20100331,NM,41,0,10622,
12432,20100331,NM,41,0,808,
12433,20100331,NM,41,0,25313,
12437,20100331,NM,41,1395807,1395807,810
12438,20100331,NM,41,0,6008,
12441,20100331,NM,41,1208783,1208783,810
12444,20100331,NM,41,0,943,
12457,20100331,NM,41,0,1738,
12474,20100331,NM,41,0,2332,
12483,20100331,NM,41,0,249,
12484,20100331,NM,41,0,6375,
12485,20100331,SM,41,0,4623,
12493,20100331,NM,41,0,765,
12501,20100331,NM,41,0,63598,
12504,20100331,NM,41,0,6957,
12506,20100331,NM,41,0,48499,
1250,20100331,NM,41,0,7601,
12511,20100331,NM,41,0,5790,
12512,20100331,NM,41,0,7251,
12513,20100331,NM,41,0,3904,
12514,20100331,NM,41,0,25056,
12515,20100331,NM,41,0,25406,
12517,20100331,NM,41,0,50098,
12518,20100331,NM,41,0,4708,
12531,20100331,NM,41,0,27455,
12549,20100331,NM,41,0,3785,
12554,20100331,NM,41,0,37644,
12585,20100331,NM,41,0,469,
12591,20100331,NM,41,0,60316,
12592,20100331,SM,41,0,39789,
12594,20100331,NM,41,0,15787,
12602,20100331,NM,41,0,15524,
12608,20100331,NM,41,0,32651,
12609,20100331,NM,41,0,32436,
12610,20100331,NM,41,0,32786,810
12611,20100331,NM,41,0,72959,
12614,20100331,NM,41,452170,452170,810
12616,20100331,NM,41,0,18247,
12617,20100331,NM,41,0,9073,
12627,20100331,NM,41,0,62273,
12633,20100331,NM,41,209196,209196,
12636,20100331,NM,41,0,1958,
12643,20100331,NM,41,0,1396,
1265,20100331,NM,41,159339,159339,
12661,20100331,NM,41,0,4240,
12690,20100331,N,41,0,114499,810
12692,20100331,NM,41,0,15907,
12694,20100331,NM,41,0,4316,
12696,20100331,SM,41,0,10731,
12699,20100331,NM,41,0,30888,811
12700,20100331,NM,41,0,4460,
12704,20100331,NM,41,0,1090,
12706,20100331,NM,41,0,7034,
12716,20100331,NM,41,0,8315,
12717,20100331,NM,41,0,9073,
12722,20100331,NM,41,0,1551,
12745,20100331,NM,41,0,451,
12757,20100331,NM,41,0,8508,
12758,20100331,NM,41,0,1496,
12761,20100331,NM,41,0,23115,
12769,20100331,NM,41,0,283001,810
12773,20100331,NM,41,0,144580,
12781,20100331,NM,41,0,23040,
12786,20100331,NM,41,0,4305,
12787,20100331,NM,41,0,2253,
12788,20100331,N,41,0,67377,810
12790,20100331,NM,41,0,976,
12814,20100331,NM,41,0,43639,
12815,20100331,N,41,0,136671,
1281,20100331,NM,41,1231437,1231437,811
12828,20100331,NM,41,0,78278,
12836,20100331,SM,41,0,9508,
12839,20100331,SM,41,0,70245,810
12847,20100331,NM,41,0,155194,
12854,20100331,NM,31,208542,208542,
12855,20100331,NM,41,0,37818,
12857,20100331,NM,41,0,4879,
12858,20100331,NM,41,0,79551,
12859,20100331,NM,41,0,3321,
12865,20100331,SM,41,0,2258,
12869,20100331,NM,41,0,3914,
12874,20100331,NM,41,0,80378,
12885,20100331,NM,41,0,12050,
12893,20100331,NM,41,0,3043,
12899,20100331,NM,41,0,725,
12915,20100331,N,41,0,50019,
12917,20100331,N,41,0,40996,
1291,20100331,SM,41,0,144470,
12921,20100331,NM,41,0,26057,
12923,20100331,N,41,446776,446776,
12936,20100331,NM,41,0,52205,810
12940,20100331,NM,41,0,89394,810
12944,20100331,SM,41,0,86380,
1294,20100331,N,41,0,23770,
12956,20100331,NM,41,0,10976,
12959,20100331,NM,41,0,11299,
12969,20100331,NM,41,0,56175,
1296,20100331,NM,41,0,13968,
12978,20100331,SM,41,0,66666,
12980,20100331,SM,41,0,2058,
12982,20100331,SM,41,263537,263537,810
12985,20100331,NM,41,0,12051,
1298,20100331,NM,41,0,7363,
1299,20100331,NM,41,0,66653,
