CERT,date,method,log_deposits,cash_ratio,loan_ratio,equity_ratio,prior_growth
230,2024-03-31,PCA,0.002355105205988014,0.11090510528715332,0.02285310644087143,0.32836887201884657,0.5355178110471407
230,2024-06-30,PCA,0.0028704439274562714,0.1190918147836741,0.028303599432749477,0.35290354969731913,0.496830592158801
230,2024-09-30,PCA,0.0024353945144652855,0.19221557073487802,0.038461018893779016,0.30333495429231416,0.46355306156456366
231,2024-03-31,PCA,0.0008248001854577105,0.30351828148017157,0.2910604469893419,0.010061822267378936,0.39453464907764974
231,2024-06-30,PCA,0.0014761866936275282,0.2882240590139476,0.4814213764453355,0.015893074838948126,0.2129853030081412
231,2024-09-30,PCA,0.0014036097294281348,0.14045354140341346,0.49811969963528296,0.017921541832484875,0.3421016073993905
232,2024-03-31,PCA,0.002954969696495627,0.19448108722889734,0.13594821912471008,0.042073300378847274,0.6245424235710496
232,2024-06-30,PCA,0.004331969719290544,0.006536717242473168,0.17165960268535338,0.04791759093448504,0.7695541194183979
232,2024-09-30,PCA,0.004257250206405583,0.020181745732110627,0.16208764757045002,0.053647614166212394,0.7598257423248214
234,2024-03-31,PCA,0.002883917569219086,0.07848913199324593,0.048595087510870376,0.06167345608715483,0.8083584068395098
234,2024-06-30,PCA,0.002556776543466709,0.14446931571900254,0.08368760123746716,0.20784075971621752,0.561445546783846
234,2024-09-30,PCA,0.0021787693856236876,0.06503603342045364,0.03414372790421556,0.08369017267239494,0.814951296617312
235,2024-03-31,PCA,0.005164512466980925,0.013006011337966292,0.12099010891203424,0.02917663295492916,0.8316627343280895
235,2024-06-30,PCA,0.004050206936126459,0.010752388334157679,0.012381628493290376,0.03610244459548402,0.9367133316409414
235,2024-09-30,PCA,0.004580254967327231,0.009491045108371813,0.01507407949632073,0.033907758695287046,0.9369468617326931
245,2024-03-31,PCA,0.0004431635966145813,0.6983196604940431,0.16374863571118597,0.010371147185532115,0.12711739301262412
245,2024-06-30,PCA,0.0012718133749846255,0.6190991097331724,0.13653025193629648,0.01313579979846734,0.2299630251570791
245,2024-09-30,PCA,0.0017043397439938585,0.5783918164766475,0.13814951937205242,0.023081573789237125,0.2586727506180692
248,2024-03-31,PCA,0.0011761945617763715,0.6039669932977881,0.17394166298564676,0.037648923942221135,0.1832662252125675
248,2024-06-30,PCA,0.002478889672328635,0.36653336864579894,0.13406867151414084,0.06520007704460522,0.4317189931231264
248,2024-09-30,PCA,0.0009977366063318794,0.3958347161197548,0.12519777600398715,0.04766075090112762,0.43030902036879853
251,2024-03-31,PCA,0.001828896833887112,0.3320473201726539,0.0778991580819679,0.07938403125855464,0.5088405936529364
251,2024-06-30,PCA,0.00183291994368987,0.4517412556768562,0.06705276705736089,0.07203211882503224,0.4073409384970607
251,2024-09-30,PCA,0.002585301337353469,0.32360682239113125,0.05779000144558052,0.07412617857868803,0.5418916962472468
252,2024-03-31,PCA,0.0044792791008039755,0.1794495438319606,0.08249294786428002,0.021412765692432667,0.7121654635105228
252,2024-06-30,PCA,0.003912733613763042,0.17855553262182047,0.10382059405967461,0.02998051322477531,0.6837306264799665
252,2024-09-30,PCA,0.003017934023092245,0.15246284316152486,0.11129929388265736,0.03478421377367793,0.6984357151590477
253,2024-03-31,PCA,0.0033140632585105106,0.05238852021016775,0.11386414758078398,0.17776713072648048,0.6526661382240573
253,2024-06-30,PCA,0.002439833331254616,0.03563004763073926,0.06761260689086306,0.052331505475033825,0.8419860066721092
253,2024-09-30,PCA,0.003101358858775095,0.04585495797698067,0.05867555335330071,0.07332869445517663,0.819039435355767
254,2024-03-31,PCA,0.0008475040218263865,0.3577363477509728,0.1969371439636151,0.2993703526070662,0.14510865165651962
254,2024-06-30,PCA,0.0010529382824607447,0.30731665086773136,0.17164990630117277,0.24593188189680748,0.2740486226518276
