CERT,date,Ridge,MLP,Low equity/assets,Largest deposits,PCA,Isolation Forest 42,Isolation Forest 7,Isolation Forest 99,Autoencoder 42,Autoencoder 7,Autoencoder 99,PCA without size,Isolation Forest 42 without size,Isolation Forest 7 without size,Isolation Forest 99 without size,Autoencoder 42 without size,Autoencoder 7 without size,Autoencoder 99 without size
485,2024-03-31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
485,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
485,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
492,2024-03-31,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
492,2024-06-30,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
492,2024-09-30,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
496,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
496,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
496,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
501,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
501,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
501,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
505,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
505,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
505,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
526,2024-03-31,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
526,2024-06-30,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
526,2024-09-30,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
529,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
529,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
529,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
588,2024-03-31,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True
