CERT,date,target_date
99,2017-09-30,2017-12-31
99,2017-12-31,2018-03-31
99,2018-03-31,2018-06-30
99,2018-06-30,2018-09-30
99,2018-09-30,2018-12-31
99,2018-12-31,2019-03-31
99,2019-03-31,2019-06-30
99,2019-06-30,2019-09-30
99,2019-09-30,2019-12-31
99,2019-12-31,2020-03-31
99,2020-03-31,2020-06-30
99,2020-06-30,2020-09-30
99,2020-09-30,2020-12-31
99,2020-12-31,2021-03-31
99,2021-03-31,2021-06-30
99,2021-06-30,2021-09-30
99,2021-09-30,2021-12-31
99,2021-12-31,2022-03-31
99,2022-03-31,2022-06-30
99,2022-06-30,2022-09-30
99,2022-09-30,2022-12-31
101,2013-06-30,2013-09-30
101,2013-09-30,2013-12-31
101,2013-12-31,2014-03-31
101,2014-03-31,2014-06-30
101,2014-06-30,2014-09-30
101,2014-09-30,2014-12-31
101,2014-12-31,2015-03-31
101,2015-03-31,2015-06-30
101,2015-06-30,2015-09-30
101,2015-09-30,2015-12-31
101,2015-12-31,2016-03-31
101,2016-03-31,2016-06-30
101,2016-06-30,2016-09-30
101,2016-09-30,2016-12-31
101,2016-12-31,2017-03-31
101,2017-03-31,2017-06-30
101,2017-06-30,2017-09-30
101,2017-09-30,2017-12-31
101,2017-12-31,2018-03-31
101,2018-03-31,2018-06-30
101,2018-06-30,2018-09-30
101,2018-09-30,2018-12-31
101,2018-12-31,2019-03-31
101,2019-03-31,2019-06-30
101,2019-06-30,2019-09-30
105,2013-06-30,2013-09-30
105,2013-09-30,2013-12-31
105,2013-12-31,2014-03-31
105,2014-03-31,2014-06-30
105,2014-06-30,2014-09-30
105,2014-09-30,2014-12-31
