Repeat,Metric,Comparison,Difference
77,Precision difference (pp),MLP minus Ridge,-0.4571331447787902
77,MAE difference (pp),MLP minus Zero growth,0.029364237499216905
77,MAE difference (pp),MLP minus Ridge,-0.017204063878482945
77,MAE difference (pp),Seasonal median minus Zero growth,-0.09919538760019231
78,Precision difference (pp),Ridge minus Size-only Ridge,2.271340336568511
78,Precision difference (pp),MLP minus Ridge,-1.4402002891552412
78,MAE difference (pp),MLP minus Zero growth,0.018117879779781187
78,MAE difference (pp),MLP minus Ridge,0.008174767320682452
78,MAE difference (pp),Seasonal median minus Zero growth,-0.1070081994556289
79,Precision difference (pp),Ridge minus Size-only Ridge,2.225911529919522
79,Precision difference (pp),MLP minus Ridge,0.3447731003738824
79,MAE difference (pp),MLP minus Zero growth,0.002651140529983387
79,MAE difference (pp),MLP minus Ridge,-0.027293745993602236
79,MAE difference (pp),Seasonal median minus Zero growth,-0.10687043518108963
80,Precision difference (pp),Ridge minus Size-only Ridge,6.0427826519614065
80,Precision difference (pp),MLP minus Ridge,-0.717164931043901
80,MAE difference (pp),MLP minus Zero growth,-0.002827472603637471
80,MAE difference (pp),MLP minus Ridge,-0.027420987547217557
80,MAE difference (pp),Seasonal median minus Zero growth,-0.09973280411063401
81,Precision difference (pp),Ridge minus Size-only Ridge,1.8170408763809487
81,Precision difference (pp),MLP minus Ridge,-0.452921535829498
81,MAE difference (pp),MLP minus Zero growth,0.029242619787058555
81,MAE difference (pp),MLP minus Ridge,0.0002829288703849464
81,MAE difference (pp),Seasonal median minus Zero growth,-0.09960454946441155
82,Precision difference (pp),Ridge minus Size-only Ridge,2.825549002041383
82,Precision difference (pp),MLP minus Ridge,0.6141071154906474
82,MAE difference (pp),MLP minus Zero growth,0.027223375293685237
82,MAE difference (pp),MLP minus Ridge,-0.02364874832038355
82,MAE difference (pp),Seasonal median minus Zero growth,-0.09991891384811824
83,Precision difference (pp),Ridge minus Size-only Ridge,1.8848005183302456
83,Precision difference (pp),MLP minus Ridge,1.7604523237317649
83,MAE difference (pp),MLP minus Zero growth,0.010396490040781803
83,MAE difference (pp),MLP minus Ridge,-0.020281016798433082
83,MAE difference (pp),Seasonal median minus Zero growth,-0.10688761520350631
84,Precision difference (pp),Ridge minus Size-only Ridge,1.2912852690570686
84,Precision difference (pp),MLP minus Ridge,-0.7922310884042605
84,MAE difference (pp),MLP minus Zero growth,0.06709388018465923
84,MAE difference (pp),MLP minus Ridge,0.036481534416498373
84,MAE difference (pp),Seasonal median minus Zero growth,-0.10680531754096068
85,Precision difference (pp),Ridge minus Size-only Ridge,5.766213982224058
85,Precision difference (pp),MLP minus Ridge,-1.3637320884689608
85,MAE difference (pp),MLP minus Zero growth,0.037825044234569116
85,MAE difference (pp),MLP minus Ridge,-0.01066623009396972
85,MAE difference (pp),Seasonal median minus Zero growth,-0.09716446138947443
