CERT,Quarter,Model,Selected,Hit
3237,2024-03-31,Persistence,1,0
3248,2024-03-31,Persistence,0,0
3250,2024-03-31,Persistence,0,0
3255,2024-03-31,Persistence,0,0
3256,2024-03-31,Persistence,1,0
3268,2024-03-31,Persistence,0,0
3269,2024-03-31,Persistence,1,0
3275,2024-03-31,Persistence,1,0
3276,2024-03-31,Persistence,0,0
3279,2024-03-31,Persistence,0,0
3285,2024-03-31,Persistence,0,0
3286,2024-03-31,Persistence,0,0
3289,2024-03-31,Persistence,0,0
3292,2024-03-31,Persistence,0,0
3293,2024-03-31,Persistence,0,0
3301,2024-03-31,Persistence,0,0
3302,2024-03-31,Persistence,0,0
3303,2024-03-31,Persistence,1,0
3305,2024-03-31,Persistence,0,0
3320,2024-03-31,Persistence,0,0
3325,2024-03-31,Persistence,0,0
3327,2024-03-31,Persistence,0,0
3330,2024-03-31,Persistence,0,0
3335,2024-03-31,Persistence,0,0
3336,2024-03-31,Persistence,0,0
3337,2024-03-31,Persistence,0,0
3339,2024-03-31,Persistence,0,0
3342,2024-03-31,Persistence,0,0
3351,2024-03-31,Persistence,0,0
3368,2024-03-31,Persistence,0,0
3376,2024-03-31,Persistence,0,0
3384,2024-03-31,Persistence,0,0
3387,2024-03-31,Persistence,0,0
3388,2024-03-31,Persistence,0,0
3389,2024-03-31,Persistence,0,0
3399,2024-03-31,Persistence,1,0
3400,2024-03-31,Persistence,0,0
3401,2024-03-31,Persistence,0,0
3405,2024-03-31,Persistence,0,0
3430,2024-03-31,Persistence,0,0
3440,2024-03-31,Persistence,0,0
3510,2024-03-31,Persistence,0,0
3511,2024-03-31,Persistence,0,0
3579,2024-03-31,Persistence,0,0
3599,2024-03-31,Persistence,0,0
3600,2024-03-31,Persistence,0,0
3601,2024-03-31,Persistence,0,0
3603,2024-03-31,Persistence,0,0
3607,2024-03-31,Persistence,0,0
3612,2024-03-31,Persistence,0,0
3614,2024-03-31,Persistence,0,0
3639,2024-03-31,Persistence,0,0
3657,2024-03-31,Persistence,0,0
3661,2024-03-31,Persistence,0,0
3664,2024-03-31,Persistence,0,0
3674,2024-03-31,Persistence,0,0
3677,2024-03-31,Persistence,0,0
3688,2024-03-31,Persistence,0,0
3691,2024-03-31,Persistence,0,0
3693,2024-03-31,Persistence,1,0
3698,2024-03-31,Persistence,0,0
3701,2024-03-31,Persistence,0,0
3702,2024-03-31,Persistence,0,0
3705,2024-03-31,Persistence,0,0
3711,2024-03-31,Persistence,0,0
3713,2024-03-31,Persistence,1,0
3719,2024-03-31,Persistence,0,0
3720,2024-03-31,Persistence,0,0
3722,2024-03-31,Persistence,0,0
3732,2024-03-31,Persistence,0,0
3745,2024-03-31,Persistence,0,0
3747,2024-03-31,Persistence,0,0
3749,2024-03-31,Persistence,0,0
3759,2024-03-31,Persistence,0,0
3761,2024-03-31,Persistence,0,0
3762,2024-03-31,Persistence,0,0
3770,2024-03-31,Persistence,0,0
3775,2024-03-31,Persistence,0,0
3777,2024-03-31,Persistence,0,0
3787,2024-03-31,Persistence,0,0
3792,2024-03-31,Persistence,0,0
3799,2024-03-31,Persistence,0,0
3805,2024-03-31,Persistence,0,0
3807,2024-03-31,Persistence,0,0
3808,2024-03-31,Persistence,0,0
3809,2024-03-31,Persistence,0,0
3814,2024-03-31,Persistence,0,0
3818,2024-03-31,Persistence,0,0
3821,2024-03-31,Persistence,0,0
3826,2024-03-31,Persistence,0,0
3827,2024-03-31,Persistence,1,0
3830,2024-03-31,Persistence,0,0
3832,2024-03-31,Persistence,0,0
3834,2024-03-31,Persistence,0,0
3837,2024-03-31,Persistence,0,0
3840,2024-03-31,Persistence,0,0
3842,2024-03-31,Persistence,0,0
3846,2024-03-31,Persistence,0,0
3850,2024-03-31,Persistence,0,0
3854,2024-03-31,Persistence,0,0
3863,2024-03-31,Persistence,0,0
3864,2024-03-31,Persistence,0,0
3869,2024-03-31,Persistence,0,0
3873,2024-03-31,Persistence,0,0
3887,2024-03-31,Persistence,0,0
3890,2024-03-31,Persistence,0,0
3896,2024-03-31,Persistence,0,0
3902,2024-03-31,Persistence,0,0
3919,2024-03-31,Persistence,0,0
3931,2024-03-31,Persistence,0,0
3934,2024-03-31,Persistence,0,0
3973,2024-03-31,Persistence,0,0
3977,2024-03-31,Persistence,0,0
3985,2024-03-31,Persistence,1,0
3999,2024-03-31,Persistence,1,0
4009,2024-03-31,Persistence,0,0
4016,2024-03-31,Persistence,0,0
4028,2024-03-31,Persistence,0,0
4029,2024-03-31,Persistence,0,0
4031,2024-03-31,Persistence,1,1
4032,2024-03-31,Persistence,0,0
4033,2024-03-31,Persistence,1,0
4037,2024-03-31,Persistence,0,0
4041,2024-03-31,Persistence,0,0
4042,2024-03-31,Persistence,0,0
4048,2024-03-31,Persistence,0,0
4049,2024-03-31,Persistence,0,0
4050,2024-03-31,Persistence,1,0
4051,2024-03-31,Persistence,0,0
4054,2024-03-31,Persistence,0,0
4059,2024-03-31,Persistence,0,0
4061,2024-03-31,Persistence,0,0
4062,2024-03-31,Persistence,0,0
4063,2024-03-31,Persistence,0,0
4067,2024-03-31,Persistence,0,0
4071,2024-03-31,Persistence,0,0
4076,2024-03-31,Persistence,0,0
4084,2024-03-31,Persistence,0,0
4086,2024-03-31,Persistence,0,0
4087,2024-03-31,Persistence,0,0
4091,2024-03-31,Persistence,0,0
4092,2024-03-31,Persistence,0,0
4094,2024-03-31,Persistence,1,0
4097,2024-03-31,Persistence,0,0
4098,2024-03-31,Persistence,0,0
4111,2024-03-31,Persistence,0,0
4122,2024-03-31,Persistence,0,0
4123,2024-03-31,Persistence,0,0
4132,2024-03-31,Persistence,0,0
4134,2024-03-31,Persistence,0,0
4144,2024-03-31,Persistence,0,0
4145,2024-03-31,Persistence,0,0
4146,2024-03-31,Persistence,0,0
4147,2024-03-31,Persistence,0,0
4148,2024-03-31,Persistence,0,0
4160,2024-03-31,Persistence,0,0
4161,2024-03-31,Persistence,0,0
4170,2024-03-31,Persistence,0,0
4173,2024-03-31,Persistence,0,0
4178,2024-03-31,Persistence,0,0
4185,2024-03-31,Persistence,0,0
4187,2024-03-31,Persistence,0,0
4190,2024-03-31,Persistence,0,0
4193,2024-03-31,Persistence,0,0
4196,2024-03-31,Persistence,1,0
4208,2024-03-31,Persistence,0,0
4209,2024-03-31,Persistence,0,0
4211,2024-03-31,Persistence,0,0
4214,2024-03-31,Persistence,0,0
4217,2024-03-31,Persistence,0,0
4222,2024-03-31,Persistence,0,0
4228,2024-03-31,Persistence,0,0
4232,2024-03-31,Persistence,0,0
4235,2024-03-31,Persistence,0,0
4236,2024-03-31,Persistence,0,0
4239,2024-03-31,Persistence,0,0
4241,2024-03-31,Persistence,1,0
4255,2024-03-31,Persistence,0,0
4256,2024-03-31,Persistence,0,0
4288,2024-03-31,Persistence,0,0
4290,2024-03-31,Persistence,0,0
4297,2024-03-31,Persistence,0,0
4318,2024-03-31,Persistence,0,0
4319,2024-03-31,Persistence,0,0
4324,2024-03-31,Persistence,0,0
4360,2024-03-31,Persistence,0,0
4364,2024-03-31,Persistence,0,0
4365,2024-03-31,Persistence,0,0
4382,2024-03-31,Persistence,0,0
4398,2024-03-31,Persistence,1,0
4419,2024-03-31,Persistence,0,0
4432,2024-03-31,Persistence,0,0
4433,2024-03-31,Persistence,0,0
4439,2024-03-31,Persistence,0,0
4457,2024-03-31,Persistence,0,0
4464,2024-03-31,Persistence,0,0
4465,2024-03-31,Persistence,0,0
4476,2024-03-31,Persistence,0,0
4477,2024-03-31,Persistence,1,0
4482,2024-03-31,Persistence,0,0
4494,2024-03-31,Persistence,0,0
4506,2024-03-31,Persistence,0,0
4511,2024-03-31,Persistence,1,0
4514,2024-03-31,Persistence,0,0
4519,2024-03-31,Persistence,0,0
4526,2024-03-31,Persistence,0,0
4539,2024-03-31,Persistence,0,0
4540,2024-03-31,Persistence,0,0
4549,2024-03-31,Persistence,1,0
4556,2024-03-31,Persistence,1,0
4598,2024-03-31,Persistence,0,0
4611,2024-03-31,Persistence,0,0
4619,2024-03-31,Persistence,0,0
4621,2024-03-31,Persistence,1,0
4624,2024-03-31,Persistence,0,0
4630,2024-03-31,Persistence,1,0
4636,2024-03-31,Persistence,0,0
4638,2024-03-31,Persistence,1,0
4649,2024-03-31,Persistence,0,0
4652,2024-03-31,Persistence,0,0
4654,2024-03-31,Persistence,0,0
4660,2024-03-31,Persistence,0,0
4664,2024-03-31,Persistence,0,0
4666,2024-03-31,Persistence,0,0
4668,2024-03-31,Persistence,0,0
4673,2024-03-31,Persistence,0,0
4678,2024-03-31,Persistence,0,0
4683,2024-03-31,Persistence,0,0
4690,2024-03-31,Persistence,0,0
4693,2024-03-31,Persistence,1,0
4697,2024-03-31,Persistence,0,0
4702,2024-03-31,Persistence,1,0
4705,2024-03-31,Persistence,0,0
4707,2024-03-31,Persistence,0,0
4722,2024-03-31,Persistence,0,0
4728,2024-03-31,Persistence,1,0
4735,2024-03-31,Persistence,0,0
4746,2024-03-31,Persistence,0,0
4752,2024-03-31,Persistence,0,0
4756,2024-03-31,Persistence,0,0
4766,2024-03-31,Persistence,0,0
4767,2024-03-31,Persistence,0,0
4769,2024-03-31,Persistence,1,0
4770,2024-03-31,Persistence,0,0
4773,2024-03-31,Persistence,0,0
4774,2024-03-31,Persistence,1,0
4775,2024-03-31,Persistence,0,0
4778,2024-03-31,Persistence,0,0
4779,2024-03-31,Persistence,0,0
4789,2024-03-31,Persistence,0,0
4791,2024-03-31,Persistence,0,0
4792,2024-03-31,Persistence,0,0
4794,2024-03-31,Persistence,0,0
4796,2024-03-31,Persistence,0,0
4799,2024-03-31,Persistence,1,0
4801,2024-03-31,Persistence,0,0
4832,2024-03-31,Persistence,1,0
4857,2024-03-31,Persistence,0,0
4865,2024-03-31,Persistence,0,0
4931,2024-03-31,Persistence,0,0
4945,2024-03-31,Persistence,0,0
4952,2024-03-31,Persistence,0,0
4958,2024-03-31,Persistence,0,0
4960,2024-03-31,Persistence,0,0
4972,2024-03-31,Persistence,0,0
4977,2024-03-31,Persistence,0,0
4988,2024-03-31,Persistence,0,0
4993,2024-03-31,Persistence,0,0
5005,2024-03-31,Persistence,0,0
5006,2024-03-31,Persistence,0,0
5015,2024-03-31,Persistence,0,0
5018,2024-03-31,Persistence,0,0
5019,2024-03-31,Persistence,0,0
5033,2024-03-31,Persistence,0,0
5058,2024-03-31,Persistence,0,0
5062,2024-03-31,Persistence,0,0
5072,2024-03-31,Persistence,0,0
5074,2024-03-31,Persistence,1,0
