FAILDATE,CERT,RESTYPE,NAME,ID
4/29/2011,57625.0,FAILURE,CORTEZ COMMUNITY  BANK,3928
4/29/2011,58539.0,FAILURE,FIRST CHOICE COMMUNITY BANK,3929
4/15/2011,14273.0,FAILURE,HERITAGE BANKING GROUP,3919
4/15/2011,17750.0,FAILURE,SUPERIOR BANK,3920
4/15/2011,19794.0,FAILURE,NEXITY BANK,3921
4/15/2011,21495.0,FAILURE,BARTOW COUNTY BANK,3922
4/15/2011,24099.0,FAILURE,ROSEMOUNT NATIONAL BANK,3923
4/15/2011,57705.0,FAILURE,NEW HORIZONS BANK,3924
4/8/2011,10086.0,FAILURE,WESTERN SPRINGS NATIONAL BANK AND TRUST,3917
4/8/2011,35418.0,FAILURE,NEVADA COMMERCE BANK,3918
3/25/2011,34292.0,FAILURE,THE BANK OF COMMERCE,3916
3/11/2011,4077.0,FAILURE,THE FIRST NATIONAL BANK OF DAVIS,3914
3/11/2011,34818.0,FAILURE,LEGACY BANK,3915
2/25/2011,34187.0,FAILURE,VALLEY COMMUNITY BANK,3913
2/18/2011,151.0,FAILURE,HABERSHAM BANK,3909
2/18/2011,34601.0,FAILURE,CITIZENS BANK OF EFFINGHAM,3910
2/18/2011,34783.0,FAILURE,"SAN LUIS TRUST BANK, FSB",3911
2/18/2011,57855.0,FAILURE,CHARTER OAK BANK,3912
2/11/2011,13272.0,FAILURE,BADGER STATE BANK,3905
2/11/2011,14939.0,FAILURE,PEOPLES STATE BANK,3906
2/11/2011,34692.0,FAILURE,CANYON NATIONAL BANK,3907
2/11/2011,35478.0,FAILURE,SUNSHINE STATE COMMUNITY BANK,3908
2/4/2011,35242.0,FAILURE,NORTH GEORGIA BANK,3902
2/4/2011,57432.0,FAILURE,AMERICAN TRUST BANK,3903
2/4/2011,57948.0,FAILURE,COMMUNITY FIRST BANK - CHICAGO,3904
1/28/2011,2303.0,FAILURE,THE FIRST STATE BANK,3898
1/28/2011,5328.0,FAILURE,EVERGREEN STATE BANK,3899
1/28/2011,12261.0,FAILURE,FIRST COMMUNITY BANK,3900
1/28/2011,57646.0,FAILURE,FIRSTIER BANK,3901
1/21/2011,19758.0,FAILURE,ENTERPRISE BANKING COMPANY,3894
1/21/2011,31293.0,FAILURE,UNITED WESTERN BANK,3895
1/21/2011,34516.0,FAILURE,THE BANK OF ASHEVILLE,3896
1/21/2011,57868.0,FAILURE,COMMUNITYSOUTH BANK AND TRUST,3897
1/14/2011,57440.0,FAILURE,OGLETHORPE BANK,3893
1/7/2011,34965.0,FAILURE,FIRST COMMERCIAL BANK OF FLORIDA,3891
1/7/2011,57820.0,FAILURE,LEGACY BANK,3892
12/17/2010,19040.0,FAILURE,THE BANK OF MIAMI,3885
12/17/2010,23306.0,FAILURE,COMMUNITY NATIONAL BANK,3886
12/17/2010,34578.0,FAILURE,CHESTATEE STATE BANK,3887
12/17/2010,35065.0,FAILURE,UNITED AMERICAS BANK,3888
12/17/2010,58052.0,FAILURE,FIRST SOUTHERN BANK,3889
12/17/2010,58495.0,FAILURE,"APPALACIAN COMMUNITY BANK, F.S.B.",3890
12/10/2010,34673.0,FAILURE,PARAMOUNT BANK,3883
12/10/2010,35561.0,FAILURE,EARTHSTAR BANK,3884
11/19/2010,5287.0,FAILURE,FIRST BANKING CENTER,3880
11/19/2010,20340.0,FAILURE,GULF STATE COMMUNITY BANK,3881
11/19/2010,35078.0,FAILURE,ALLEGIANCE BANK OF NORTH AMERICA,3882
11/12/2010,14580.0,FAILURE,DARBY BANK & TRUST COMPANY,3877
11/12/2010,35463.0,FAILURE,COPPER STAR BANK,3878
11/12/2010,57831.0,FAILURE,TIFTON BANKING COMPANY,3879
11/5/2010,31263.0,FAILURE,K BANK,3873
11/5/2010,34411.0,FAILURE,PIERCE COMMERCIAL BANK,3874
11/5/2010,57885.0,FAILURE,FIRST VIETNAMESE AMERICAN BANK,3875
11/5/2010,58087.0,FAILURE,WESTERN COMMERCIAL BANK,3876
10/22/2010,2119.0,FAILURE,THE FIRST NATIONAL BANK OF BARNESVILLE,3866
10/22/2010,16089.0,FAILURE,FIRST SUBURBAN NATIONAL BANK,3867
10/22/2010,22173.0,FAILURE,HILLCREST BANK,3868
10/22/2010,27573.0,FAILURE,FIRST BANK OF JACKSONVILLE,3869
10/22/2010,32251.0,FAILURE,PROGRESS BANK OF FLORIDA,3870
10/22/2010,32582.0,FAILURE,"FIRST ARIZONA SAVINGS, A FSB",3871
10/22/2010,33904.0,FAILURE,THE GORDON BANK,3872
10/15/2010,30898.0,FAILURE,"SECURITY SAVINGS BANK, F.S.B.",3863
10/15/2010,34016.0,FAILURE,PREMIER BANK,3864
10/15/2010,58205.0,FAILURE,WESTBRIDGE BANK AND TRUST COMPANY,3865
10/1/2010,21777.0,FAILURE,WAKULLA BANK,3861
10/1/2010,35250.0,FAILURE,SHORELINE BANK,3862
9/24/2010,35053.0,FAILURE,NORTH COUNTY BANK,3859
9/24/2010,58308.0,FAILURE,HAVEN TRUST BANK FLORIDA,3860
9/17/2010,182.0,FAILURE,THE PEOPLES BANK,3853
9/17/2010,27808.0,FAILURE,BRAMBLE SAVINGS BANK,3854
9/17/2010,28612.0,FAILURE,MARITIME SAVINGS BANK,3855
9/17/2010,57107.0,FAILURE,ISN BANK,3856
9/17/2010,57448.0,FAILURE,FIRST COMMERCE COMMUNITY BANK,3857
9/17/2010,58197.0,FAILURE,THE BANK OF ELLIJAY,3858
9/10/2010,35061.0,FAILURE,HORIZON BANK,3852
8/20/2010,15640.0,FAILURE,SHOREBANK,3844
8/20/2010,25266.0,FAILURE,COMMUNITY NATIONAL BANK AT BARTOW,3845
8/20/2010,27090.0,FAILURE,PACIFIC STATE BANK,3846
8/20/2010,27259.0,FAILURE,SONOMA VALLEY BANK,3847
8/20/2010,27344.0,FAILURE,INDEPENDENT NATIONAL BANK,3848
8/20/2010,31623.0,FAILURE,IMPERIAL SAVINGS AND LOAN ASSOCIATION,3849
8/20/2010,32165.0,FAILURE,LOS PADRES BANK,3850
8/20/2010,33219.0,FAILURE,BUTTE COMMUNITY BANK,3851
8/13/2010,17599.0,FAILURE,PALOS BANK AND TRUST COMPANY,3843
